Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,7688,14741,22429
February 28 2017,7889,15209,23098
March 31 2017,8093,15599,23692
April 30 2017,8287,16108,24395
May 31 2017,8485,16573,25058
June 30 2017,8722,16991,25713
July 31 2017,8901,17384,26285
August 31 2017,9116,17682,26798
September 30 2017,9323,18082,27405
October 31 2017,9585,18527,28112
November 30 2017,9817,18880,28697
December 31 2017,10041,19188,29229
January 31 2018,10448,19736,30184
February 28 2018,10745,19980,30725
March 31 2018,11091,20397,31488
April 30 2018,11424,20928,32352
May 31 2018,11845,21705,33550
June 30 2018,12265,22438,34703
July 31 2018,12555,22988,35543
August 31 2018,12867,23583,36450
September 30 2018,13195,24167,37362
October 31 2018,13543,25524,39067
November 30 2018,13922,26786,40708
December 31 2018,14245,27727,41972
January 31 2019,14628,29116,43744
February 28 2019,14792,29693,44485
March 31 2019,14941,30034,44975
April 30 2019,15195,31055,46250
May 31 2019,15461,31751,47212
June 30 2019,15711,32582,48293
July 31 2019,15976,33564,49540
August 31 2019,16183,34313,50496
September 30 2019,16417,35080,51497
October 31 2019,16700,36655,53355
November 30 2019,16873,37106,53979
December 31 2019,17045,37759,54804
January 31 2020,17270,39788,57058
February 29 2020,17383,40270,57653
March 31 2020,17524,41003,58527
April 30 2020,17483,41354,58837
May 31 2020,17499,41350,58849
June 30 2020,17599,41612,59211
July 31 2020,17735,43013,60748
August 31 2020,17880,43609,61489
September 30 2020,18093,44179,62272
October 31 2020,18350,45198,63548
November 30 2020,18526,46557,65083
December 31 2020,18817,47354,66171
January 31 2021,19149,48921,68070
February 28 2021,19437,49789,69226
March 31 2021,19795,50612,70407
April 30 2021,20250,52475,72725
May 31 2021,20653,53719,74372
June 30 2021,21243,54838,76081
July 31 2021,21650,56886,78536
August 31 2021,22065,58407,80472
September 30 2021,22397,59600,81997
October 31 2021,22814,61320,84134
November 30 2021,23224,62949,86173
December 31 2021,23501,64445,87946
January 31 2022,23834,66036,89870
February 28 2022,24137,67629,91766
March 31 2022,24591,69214,93805
April 30 2022,24947,71608,96555
May 31 2022,25412,72990,98402
June 30 2022,25921,74669,100590
July 31 2022,26222,77118,103340
August 31 2022,26674,79423,106097
September 30 2022,27007,80886,107893
October 31 2022,27357,84146,111503
November 30 2022,27699,87431,115130
December 31 2022,28117,89779,117896
January 31 2023,28645,93049,121694
February 28 2023,29194,95495,124689
March 31 2023,29873,98086,127959
April 30 2023,30798,101472,132270
May 31 2023,31615,105040,136655
June 30 2023,32505,108782,141287
July 31 2023,33171,112510,145681
August 31 2023,34111,118184,152295
September 30 2023,35028,121884,156912
October 31 2023,35906,126263,162169
November 30 2023,36662,129678,166340
December 31 2023,37412,133462,170874
January 31 2024,38612,138073,176685
February 29 2024,39459,141911,181370
March 31 2024,40299,144653,184952
April 30 2024,41271,148487,189758
May 31 2024,42012,152047,194059
June 30 2024,42670,154544,197214
July 31 2024,43628,159212,202840
August 31 2024,44424,164230,208654
September 30 2024,45117,168611,213728
October 31 2024,45917,173132,219049
November 30 2024,46383,175899,222282
December 31 2024,46844,177151,223995
